Month,Day,Facility,Supplier,Supplier_Type,Weight_lbs,Volume_cuft,Trucks_Needed,Weight_Utilization_Pct,Volume_Utilization_Pct,Binding_Constraint,Num_SKUs,SKUs_Delivered
1,18,Sacramento,Form & Function,Domestic,170283.5714,208801.5238,59,6.413693839,98.30580217,volume,2,"SKUD2,SKUD3"
1,18,Austin,The Write Stuff,International,48836.90476,975.2865961,2,54.26322751,13.54564717,weight,2,"SKUW1,SKUW2"
1,18,Austin,Bound to Learn,Domestic,555560.7143,26411.44345,13,94.96764347,56.43470823,weight,2,"SKUT1,SKUT3"
1,18,Austin,Form & Function,Domestic,59105.71429,4925.47619,2,65.67301587,68.40939153,volume,1,SKUD1
1,19,Columbus,The Write Stuff,International,15314.28571,354.4973545,1,34.03174603,9.847148736,weight,1,SKUW1
1,19,Columbus,Canvas & Co.,Domestic,19834.7619,419.9101356,1,44.07724868,11.66417043,weight,2,"SKUA1,SKUA3"
1,19,Columbus,Bound to Learn,Domestic,577871.4286,27062.17262,13,98.78144078,57.82515517,weight,3,"SKUT1,SKUT3,SKUT4"
1,19,Columbus,Form & Function,Domestic,170283.5714,208801.5238,59,6.413693839,98.30580217,volume,2,"SKUD2,SKUD3"
1,19,Columbus,VoltEdge,International,1042019.048,131468.1905,37,62.58372658,98.6998427,volume,2,"SKUE2,SKUE3"
1,19,Sacramento,Canvas & Co.,Domestic,8803.428571,297.183642,1,19.5631746,8.255101166,weight,1,SKUA2
1,19,Sacramento,Form & Function,Domestic,59105.71429,4925.47619,2,65.67301587,68.40939153,volume,1,SKUD1
1,19,Sacramento,VoltEdge,International,45105.71429,870.0947972,2,50.11746032,12.08464996,weight,1,SKUE1
1,19,Austin,The Write Stuff,International,65827.38095,1219.025573,2,73.14153439,16.93091074,weight,2,"SKUW2,SKUW3"
1,19,Austin,Bound to Learn,Domestic,982928.5714,47657.14286,22,99.28571429,60.17316017,weight,1,SKUT2
